timeSec,seq_id,sinr_db,mcs,packet_sent,packet_received,window_pdr
11.446444231,93,52.06026711020905,14,1,1.0,1.0
11.529104767,94,51.10999421849185,14,1,1.0,1.0
11.546444231,94,51.67293603594138,14,1,1.0,1.0
11.629104767,95,54.252696924595625,14,1,1.0,1.0
11.646444231,95,52.394903055092705,14,1,1.0,1.0
11.729104767,96,51.518244250836005,14,1,1.0,1.0
11.746444231,96,52.55543260505363,14,1,1.0,1.0
11.829104767,97,49.45942141123539,14,1,1.0,1.0
11.846444231,97,53.18032439945523,14,1,1.0,1.0
11.929104767,98,55.40353375799418,14,1,1.0,1.0
11.946444231,98,52.1434696257836,14,1,1.0,1.0
12.029104767,99,51.6805340024601,14,1,1.0,1.0
12.046444231,99,51.604615805851,14,1,1.0,1.0
12.129104767,100,50.65580825997566,14,1,1.0,1.0
12.146444231,100,53.87378207342205,14,1,1.0,1.0
12.229104767,101,54.12653962423626,14,1,1.0,1.0
12.246444231,101,50.855518761222605,14,1,1.0,1.0
12.329104767,102,52.87050413195559,14,1,1.0,1.0
12.346444231,102,52.83102763945906,14,1,1.0,1.0
12.429104767,103,47.96431915872601,14,1,1.0,1.0
12.446444231,103,54.145181812512135,14,1,1.0,1.0
12.529104767,104,55.242722643206754,14,1,1.0,1.0
12.546444231,104,51.65132657066577,14,1,1.0,1.0
12.629104767,105,52.56010503067978,14,1,1.0,1.0
12.646444231,105,50.87563467302061,14,1,1.0,1.0
12.729104767,106,50.392579890847145,14,1,1.0,1.0
12.746444231,106,54.490907657355066,14,1,1.0,1.0
12.829104767,107,52.94743223479802,14,1,1.0,1.0
12.846444231,107,51.415969800814246,14,1,1.0,1.0
12.929104767,108,49.27238256569517,14,1,1.0,1.0
12.946444231,108,49.27238256569517,14,1,1.0,1.0
13.029104767,109,53.63110527040377,14,1,1.0,1.0
13.046444231,109,53.63110527040377,14,1,1.0,1.0
13.129104767,110,53.88893568034739,14,1,1.0,1.0
13.146444231,110,53.88893568034739,14,1,1.0,1.0
13.229104767,111,50.44437941046375,14,1,1.0,1.0
13.246444231,111,50.44437941046375,14,1,1.0,1.0
13.329104767,112,53.27516381617401,14,1,1.0,1.0
13.346444231,112,53.27516381617401,14,1,1.0,1.0
